gp,min,pts,fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,pts_per_min,per_simple,ts_pct,ast_to_ratio,def_contrib_per_min
36,27.4,7.4,34.7,25.0,69.9,4.1,1.9,0.4,0.4,1.3,0,0.27007298284405173,0.2627737130374558,0.42963302024697864,1.4615373372789713,0.15328466593851586
35,26.9,7.2,29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0,0.2676579826149449,0.2899628144995236,0.439238599409639,2.3124985546884034,0.13382899130747244
74,15.3,5.2,42.2,24.4,67.0,2.2,1.0,0.5,0.3,1.0,0,0.3398692588320746,0.3333333115468424,0.49317137838175673,0.9999990000010001,0.16339868213080508
58,11.6,5.7,42.6,22.6,68.9,1.9,0.8,0.6,0.1,1.0,1,0.4913792679845459,0.3879310010404309,0.4693675116324915,0.7999992000008002,0.13793102259215326
48,11.5,4.5,52.4,0.0,67.4,2.5,0.3,0.3,0.4,0.8,1,0.39130431379962494,0.452173873724011,0.5865483351021025,0.3749995312505859,0.19130433119092774
75,11.4,3.7,42.3,32.5,73.2,0.8,1.8,0.4,0.0,0.7,0,0.3245613750384759,0.3421052331486638,0.49731169427104993,2.5714248979644316,0.09649121960603338
62,10.9,6.6,43.5,50.0,81.1,2.0,0.6,0.2,0.1,0.7,1,0.6055045316050889,0.47706417641613047,0.5006067201749514,0.8571416326548105,0.155963288443735
48,10.3,5.7,41.5,30.0,87.5,1.7,0.2,0.2,0.1,0.7,1,0.5533980045244656,0.388349476859274,0.495479746961101,0.28571387755160355,0.11650484305778225
65,9.9,2.4,39.2,23.3,71.4,0.8,2.3,0.3,0.0,1.1,0,0.24242421793694768,0.323232290582597,0.4580150923606517,2.0909071900843723,0.09090908172635538
42,8.5,3.7,38.3,21.4,67.8,1.1,0.3,0.2,0.0,0.7,0,0.4352940664359922,0.24705879446367132,0.4494653912863481,0.42857081632740524,0.10588234048443053
35,6.9,2.3,36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0,0.33333328502416154,0.31884053350137187,0.4316815196390692,2.3333255555814816,0.07246375761394816
